,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
114,Yārāda,IN,1630791430,17.65,83.2667,79.12,100,75,5.75
151,Grindavik,IS,1630791441,63.8424,-22.4338,55.35,100,90,36.82
49,Hambantota,LK,1630791411,6.1241,81.1185,77.34,100,40,4.61
524,Sandakan,MY,1630791552,5.8402,118.1179,74.88,100,20,2.3
445,Petropavlovsk-Kamchatskiy,RU,1630791528,53.0452,158.6483,50.59,100,0,6.71
22,Luang Prabang,LA,1630791403,19.8856,102.1347,71.82,100,72,0.78
31,Tuktoyaktuk,CA,1630791405,69.4541,-133.0374,50.0,100,75,5.75
33,Paoua,CF,1630791405,7.2427,16.4406,69.08,99,100,3.76
411,Nkoteng,CM,1630791519,4.5167,12.0333,66.88,99,100,2.8
578,Urusha,RU,1630791568,54.05,122.9,56.71,99,100,4.76
344,Kapit,MY,1630791499,2.0167,112.9333,71.08,99,96,0.94
278,Ha Giang,VN,1630791479,22.8333,104.9833,75.07,98,66,0.87
28,Upernavik,GL,1630791404,72.7868,-56.1549,36.27,98,100,7.29
107,Cherskiy,RU,1630791428,68.75,161.3,34.34,98,100,18.68
521,Ouadda,CF,1630791551,8.0777,22.4007,68.36,98,100,3.02
262,Huanren,CN,1630791474,41.2647,125.3667,61.03,97,16,0.78
522,Ouésso,CG,1630791552,1.6136,16.0517,70.52,97,97,2.53
272,Pingzhuang,CN,1630791477,42.0372,119.2889,62.55,97,98,4.72
519,Peno,RU,1630791551,56.9262,32.7426,39.83,97,98,6.78
458,Gawler,AU,1630791529,-34.6,138.7333,49.91,97,57,0.98
259,Manzhouli,CN,1630791473,49.6,117.4333,58.55,97,100,13.47
180,Aasiaat,GL,1630791449,68.7098,-52.8699,35.22,97,100,4.5
473,Pabradė,LT,1630791536,55.0,25.7833,46.83,97,88,5.01
294,Birao,CF,1630791484,10.2849,22.7882,71.76,97,100,4.85
91,Raja,SS,1630791423,8.4596,25.678,68.9,97,100,4.94
327,Te Anau,NZ,1630791494,-45.4167,167.7167,48.74,96,100,5.66
40,Rudnichnyy,RU,1630791408,59.617,52.4703,39.42,96,85,8.23
531,Velizh,RU,1630791554,55.6056,31.1967,37.78,96,24,4.99
333,Chifeng,CN,1630791496,42.2683,118.9636,63.88,96,100,4.14
478,Sungai Penuh,ID,1630791538,-2.0833,101.3833,62.76,96,100,3.31
535,Amapá,BR,1630791556,1.0,-52.0,73.38,96,91,3.65
469,Ipixuna,BR,1630791535,-1.7625,-48.8043,76.95,96,100,3.87
189,Troitsko-Pechorsk,RU,1630791452,62.7084,56.1964,44.67,96,100,11.61
358,Los Llanos de Aridane,ES,1630791503,28.6585,-17.9182,73.15,96,0,4.61
487,Tahe,CN,1630791541,52.3333,124.7333,57.61,96,100,3.56
455,Amguri,IN,1630791531,26.8,94.5333,75.45,96,62,2.42
340,Myanaung,MM,1630791498,18.2833,95.3167,74.61,96,100,9.1
434,Harda,IN,1630791525,22.3333,77.1,74.91,95,100,4.79
50,Hobart,AU,1630791411,-42.8794,147.3294,44.22,95,75,1.01
400,Nanning,CN,1630791516,22.8167,108.3167,79.25,95,1,4.81
349,Magadan,RU,1630791500,59.5667,150.8,54.34,95,98,5.99
504,Kabanjahe,ID,1630791546,3.1001,98.4908,63.36,95,95,1.32
371,Nelson Bay,AU,1630791507,-32.7167,152.15,59.05,95,100,1.99
410,Hede,CN,1630791518,33.7681,120.2517,75.87,94,100,12.59
237,Hisai-motomachi,JP,1630791466,34.6667,136.4667,71.4,94,100,0.49
190,Santa Maria,BR,1630791452,-29.6842,-53.8069,61.9,94,75,9.22
431,Manche,FR,1630791524,49.0,-1.1667,63.81,94,64,3.58
113,Port Elizabeth,ZA,1630791430,-33.918,25.5701,55.69,94,40,3.44
304,Kidero,RU,1630791487,42.1932,45.9614,44.91,94,93,2.17
54,Vaini,TO,1630791412,-21.2,-175.2,75.36,94,75,8.05
12,Salalah,OM,1630791399,17.0151,54.0924,78.89,94,90,5.75
538,Makurdi,NG,1630791556,7.7411,8.5121,74.01,94,91,4.34
446,Jiexiu,CN,1630791528,37.0244,111.9125,61.11,94,68,2.13
26,Bluff,NZ,1630791403,-46.6,168.3333,48.79,94,100,5.7
507,Gunjur,GM,1630791547,13.2019,-16.7339,80.67,94,40,0.0
247,Santo Tomas,PH,1630791470,14.1079,121.1414,79.05,94,100,1.97
484,Luján,AR,1630791540,-34.5703,-59.105,57.97,94,100,4.0
163,Mount Gambier,AU,1630791257,-37.8333,140.7667,39.11,93,75,5.75
147,Yāval,IN,1630791440,21.1667,75.7,75.72,93,100,8.43
99,Tondano,ID,1630791425,1.3038,124.9112,68.09,93,79,1.25
444,Teknāf,BD,1630791528,20.8624,92.3058,78.03,93,95,8.08
513,Chemax,MX,1630791549,20.65,-87.9333,76.77,93,100,2.95
472,Dhārūr,IN,1630791536,18.8167,76.1167,70.5,93,100,13.56
405,Olafsvik,IS,1630791517,64.8945,-23.7142,53.51,93,100,36.04
6,Ancud,CL,1630791398,-41.8697,-73.8203,50.43,93,100,14.27
233,Boyolangu,ID,1630791465,-8.1181,111.8935,72.66,93,99,3.85
305,Ilulissat,GL,1630791487,69.2167,-51.1,37.42,93,75,5.75
30,Clyde River,CA,1630791405,70.4692,-68.5914,41.23,93,75,10.36
257,Kalmar,SE,1630791473,56.6616,16.3616,43.97,93,6,0.0
372,Ozernovskiy,RU,1630791508,51.5,156.5167,52.84,93,100,3.74
102,Marawi,PH,1630791426,7.9986,124.2928,66.65,93,50,1.92
396,Iseyin,NG,1630791515,7.9667,3.6,72.68,93,62,2.44
502,Roald,NO,1630791545,62.5833,6.1333,51.85,93,51,3.44
496,Moree,AU,1630791543,-29.4667,149.85,50.02,93,90,12.66
232,Banyo,CM,1630791465,6.75,11.8167,63.7,93,100,1.54
214,Yakeshi,CN,1630791459,49.2833,120.7333,57.92,92,100,12.77
111,Tuatapere,NZ,1630791429,-46.1333,167.6833,48.81,92,100,3.42
311,Fengzhen,CN,1630791489,40.4394,113.1536,56.32,92,77,4.61
185,Porto-Novo,BJ,1630791451,6.4965,2.6036,75.02,92,99,6.89
127,Allada,BJ,1630791434,6.6655,2.1514,74.16,92,97,4.63
273,Bolu Province,TR,1630791477,40.6667,31.5833,53.19,92,59,2.04
510,Pilar,BR,1630791548,-9.5972,-35.9567,75.13,92,33,6.69
543,Takoradze,GH,1630791558,4.8845,-1.7554,75.51,92,100,7.23
126,George Town,MY,1630791434,5.4112,100.3354,77.9,91,20,1.01
90,Mossamedes,AO,1630791423,-15.1961,12.1522,65.21,91,42,7.11
365,Argelia,CO,1630791505,2.2556,-77.2488,71.11,91,100,1.63
474,Puksoozero,RU,1630791537,62.5903,40.6066,39.72,91,96,9.35
481,Ust-Maya,RU,1630791539,60.4167,134.5333,41.88,91,100,7.23
176,Katsuura,JP,1630791448,35.1333,140.3,69.82,91,100,16.87
218,Saskylakh,RU,1630791461,71.9167,114.0833,42.91,91,100,8.72
550,Connersville,US,1630791560,39.6412,-85.1411,74.59,91,100,8.81
198,Rolla,US,1630791376,37.9514,-91.7713,78.22,91,90,1.01
508,Esim,GH,1630791547,4.8699,-2.2405,75.85,91,100,7.76
139,Severo-Kuril'sk,RU,1630791437,50.6789,156.125,53.47,90,82,4.41
451,Dingle,PH,1630791530,10.9995,122.6711,76.08,90,100,0.47
518,Winneba,GH,1630791550,5.3511,-0.6231,77.47,90,100,11.32
267,Chibuto,MZ,1630791475,-24.6867,33.5306,65.91,90,0,6.87
318,Inhambane,MZ,1630791491,-23.865,35.3833,69.64,90,1,7.29
9,Khatanga,RU,1630791398,71.9667,102.5,48.99,90,99,12.97
285,Rocha,UY,1630791481,-34.4833,-54.3333,50.11,90,84,4.45
284,Klaksvík,FO,1630791481,62.2266,-6.589,52.72,90,94,16.73
572,Lapuyan,PH,1630791566,7.6379,123.1944,75.85,90,70,2.93
357,Changqing,CN,1630791503,36.5575,116.7272,66.13,90,100,7.65
269,Homer,US,1630791476,59.6425,-151.5483,60.08,90,90,0.0
544,Mezhdurechenskiy,RU,1630791558,59.6,65.9333,54.54,90,38,12.44
432,Warora,IN,1630791524,20.2333,79.0,77.2,90,79,5.08
533,Kurumkan,RU,1630791555,54.3,110.3,44.37,90,94,1.7
70,Paraná,AR,1630791416,-31.732,-60.5238,60.37,90,56,2.91
200,Odienné,CI,1630791455,9.51,-7.5692,72.72,90,15,4.18
170,Nishihara,JP,1630791446,26.1842,127.7558,82.06,89,20,5.75
395,Henties Bay,NA,1630791514,-22.116,14.2845,53.85,89,12,8.37
129,Orlik,RU,1630791435,52.5178,99.825,33.71,89,94,2.1
329,Bermeo,ES,1630791494,43.4209,-2.7215,70.48,89,16,2.86
290,Kpandae,GH,1630791482,8.4689,-0.0113,75.79,89,99,3.44
51,Polunochnoye,RU,1630791411,60.8697,60.4153,46.31,89,86,12.21
69,Bonthe,SL,1630791416,7.5264,-12.505,76.26,89,99,7.92
95,Muros,ES,1630791424,42.7762,-9.0603,66.7,89,15,3.62
574,Shimoda,JP,1630791567,34.6667,138.95,71.71,89,100,14.23
560,Laas,IT,1630791562,46.6166,10.7002,65.28,89,39,1.86
203,Anito,PH,1630791456,12.4497,125.2886,77.23,88,100,3.29
301,Peniche,PT,1630791486,39.3558,-9.3811,74.68,88,9,6.38
29,Arraial do Cabo,BR,1630791404,-22.9661,-42.0278,73.36,88,0,14.97
34,Pevek,RU,1630791406,69.7008,170.3133,33.85,88,100,20.15
563,Bac Lieu,VN,1630791564,9.285,105.7244,75.94,88,100,8.12
562,Scarborough,GB,1630791479,54.2797,-0.4044,57.52,88,100,1.99
282,Guérande,FR,1630791480,47.3291,-2.4283,65.77,88,69,4.79
381,Talnakh,RU,1630791510,69.4865,88.3972,50.16,88,80,14.38
244,Leningradskiy,RU,1630791469,69.3833,178.4167,33.82,88,100,5.93
238,Linhares,BR,1630791467,-19.3911,-40.0722,72.0,88,2,6.85
131,Saint Paul Harbor,US,1630791314,57.79,-152.4072,54.91,88,90,5.75
13,Mazatlán,MX,1630791400,23.2167,-106.4167,84.02,88,90,1.01
45,Vila Velha,BR,1630791409,-20.3297,-40.2925,75.15,88,0,18.41
7,Qaanaaq,GL,1630791398,77.484,-69.3632,23.83,88,100,1.86
215,Hofn,IS,1630791460,64.2539,-15.2082,54.0,88,100,17.63
577,Helong,CN,1630791567,42.5397,128.9972,52.07,88,0,2.95
122,São João da Barra,BR,1630791433,-21.6403,-41.0511,77.09,88,0,7.34
312,Lano,NG,1630791489,10.1725,11.4715,72.77,88,98,4.29
225,Berdyaush,RU,1630791463,55.1619,59.1464,49.87,88,87,7.16
106,Sitka,US,1630791391,57.0531,-135.33,58.89,88,90,0.0
402,Cadillac,US,1630791303,44.2519,-85.4012,65.79,88,90,6.91
553,Sola,VU,1630791561,-13.8833,167.55,75.87,88,90,4.61
87,Avarua,CK,1630791421,-21.2078,-159.775,71.65,88,75,9.22
462,Walvis Bay,NA,1630791533,-22.9575,14.5053,54.09,87,23,1.14
71,Barrow,US,1630791417,71.2906,-156.7887,39.22,87,90,23.02
73,Puerto Ayora,EC,1630791417,-0.7393,-90.3518,78.76,87,96,7.0
48,Aklavik,CA,1630791410,68.2191,-135.0107,54.32,87,90,5.75
367,Meulaboh,ID,1630791506,4.1363,96.1285,75.7,87,86,4.83
424,Atambua,ID,1630791522,-9.1061,124.8925,71.51,87,92,4.36
558,Shenzhen,CN,1630791061,22.5455,114.0683,85.21,87,6,3.27
84,Andenes,NO,1630791421,69.3143,16.1194,44.58,87,90,9.22
156,Vysokogornyy,RU,1630791442,50.1167,139.15,54.48,87,0,1.23
11,Bengkulu,ID,1630791176,-3.8004,102.2655,72.5,87,42,4.74
500,Lavumisa,SZ,1630791545,-27.31,31.892,64.69,87,2,5.19
331,Maragogi,BR,1630791495,-9.0122,-35.2225,75.25,87,22,8.55
109,Busselton,AU,1630791428,-33.65,115.3333,42.08,87,2,7.54
94,Anadyr,RU,1630791424,64.75,177.4833,52.3,87,75,17.9
21,Mar del Plata,AR,1630791402,-38.0023,-57.5575,51.82,87,0,6.91
466,Kiboga,UG,1630791534,0.9161,31.7742,62.33,87,98,2.28
477,Balvi,LV,1630791538,57.1313,27.2658,39.02,87,25,5.14
116,Hasaki,JP,1630791431,35.7333,140.8333,68.4,86,100,20.2
59,Ostrovnoy,RU,1630791413,68.0531,39.5131,42.22,86,100,28.5
52,Port Alfred,ZA,1630791411,-33.5906,26.891,62.62,86,6,15.37
134,Nikolskoye,RU,1630791436,59.7035,30.7861,46.29,86,44,7.96
417,Linxia Chengguanzhen,CN,1630791520,35.6003,103.2064,55.42,86,100,5.12
323,Tabou,CI,1630791493,4.423,-7.3528,76.95,86,97,10.65
204,Biak,ID,1630791456,-0.9131,122.8766,75.07,86,100,2.06
121,New Norfolk,AU,1630791432,-42.7826,147.0587,43.88,86,62,1.72
313,Bergen,NO,1630791490,60.392,5.328,54.64,86,20,3.44
178,Wanning,CN,1630791449,18.8003,110.3967,80.08,86,99,6.2
228,Bonavista,CA,1630791382,48.6499,-53.1147,66.11,86,49,9.53
86,Bitkine,TD,1630791421,11.9801,18.2138,76.21,86,100,7.38
460,Tam Ky,VN,1630791295,15.5667,108.4833,76.98,86,100,2.37
265,Okhotsk,RU,1630791445,59.3833,143.3,58.23,86,100,9.93
470,Santa Isabel Rio Negro,BR,1630791535,-0.4139,-65.0192,79.65,86,96,2.21
144,Oga,IT,1630791439,46.4631,10.347,57.88,86,79,1.74
292,Guácimo,CR,1630791483,10.2104,-83.6807,88.09,86,99,3.13
184,Jilib,SO,1630791451,0.4883,42.7854,73.98,85,14,8.66
182,Saint-Augustin,CA,1630791450,51.226,-58.6502,46.47,85,100,18.84
27,Minsk,BY,1630791118,53.9,27.5667,40.75,85,74,7.27
192,Isla Mujeres,MX,1630791453,21.2311,-86.731,78.85,85,100,8.63
407,Pitimbu,BR,1630791518,-7.4706,-34.8086,77.59,85,10,9.22
224,Okha,RU,1630791463,53.5739,142.9478,58.19,85,0,9.37
499,Shingū,JP,1630791544,33.7333,135.9833,76.91,85,100,4.07
137,Chui,UY,1630791437,-33.6971,-53.4616,54.61,85,67,3.51
528,Mezen',RU,1630791554,65.8522,44.24,41.97,85,94,11.95
568,Gamba,GA,1630791565,-2.65,10.0,74.19,85,100,6.17
378,Tura,IN,1630791509,25.5198,90.2201,76.75,84,97,2.42
341,Zhigalovo,RU,1630791498,54.8097,105.1578,37.06,84,100,3.11
220,Iisalmi,FI,1630791461,63.5592,27.1907,41.02,84,37,4.74
219,Alibag,IN,1630791461,18.6411,72.8792,78.87,84,100,3.6
375,Kanniyākumāri,IN,1630791508,8.0833,77.5667,77.83,84,100,16.37
115,Mogadishu,SO,1630791430,2.0371,45.3438,76.59,84,16,16.87
39,Cabedelo,BR,1630791124,-6.9811,-34.8339,77.67,84,9,9.19
370,Codrington,AU,1630791507,-38.2667,141.9667,48.54,84,38,9.46
386,Ust-Nera,RU,1630791512,64.5667,143.2,40.89,84,100,7.25
296,Bahía Solano,CO,1630791484,6.2262,-77.4044,79.47,84,100,6.69
335,Tagusao,PH,1630791496,9.1924,117.8141,78.4,84,98,4.99
42,Nouakchott,MR,1630791408,18.0858,-15.9785,84.13,84,0,11.16
217,Borogontsy,RU,1630791398,62.6683,131.1683,37.96,84,23,4.36
322,Gorakhpur,IN,1630791492,29.45,75.6833,80.31,84,66,5.77
60,Imbituba,BR,1630791414,-28.24,-48.6703,64.29,84,90,4.16
525,Solca,RO,1630791553,47.7,25.85,58.23,84,100,3.44
457,Sperchógeia,GR,1630791532,37.0667,22.0667,75.94,83,51,3.44
441,Wakkanai,JP,1630791527,45.4094,141.6739,63.18,83,9,13.94
471,Pangai,TO,1630791536,-19.8,-174.35,77.11,83,75,9.22
569,Melendugno,IT,1630791565,40.2747,18.3368,73.06,83,40,0.0
570,Plettenberg Bay,ZA,1630791565,-34.0527,23.3716,54.25,83,42,4.94
440,Nador,MA,1630791527,35.174,-2.9287,75.45,83,40,4.61
227,Melilla,ES,1630791463,35.2937,-2.9383,75.58,83,40,4.61
406,Storforshei,NO,1630791517,66.4043,14.5233,45.66,83,100,2.37
96,Bandarbeyla,SO,1630791425,9.4942,50.8122,76.75,83,64,26.62
345,Salisbury,GB,1630791499,51.0693,-1.7957,62.89,83,90,9.22
138,Lüderitz,NA,1630791437,-26.6481,15.1594,53.62,83,0,12.1
476,Port-Gentil,GA,1630791537,-0.7193,8.7815,76.96,83,90,10.36
350,Francavilla al Mare,IT,1630791501,42.4206,14.287,72.57,83,75,1.01
299,Sinnamary,GF,1630791485,5.3833,-52.95,80.1,83,14,9.28
195,Bone,DE,1630791454,51.9669,12.1396,55.62,83,17,3.53
483,Dakar,SN,1630791540,14.6937,-17.4441,83.28,83,20,0.0
250,Vinogradnyy,RU,1630791470,45.0517,37.3189,54.09,82,20,8.95
423,Warrington,GB,1630791521,53.3925,-2.5802,61.86,82,20,1.99
4,Lebu,CL,1630791397,-37.6167,-73.65,53.98,82,100,14.72
5,Mataura,NZ,1630791397,-46.1927,168.8643,48.47,82,100,1.81
169,Aykhal,RU,1630791446,66.0,111.5,39.2,82,30,12.21
420,Bowen,AU,1630791521,-20.0167,148.2333,62.82,82,4,8.16
148,Cidreira,BR,1630791440,-30.1811,-50.2056,61.14,82,100,13.04
298,Montería,CO,1630791194,8.748,-75.8814,83.41,82,98,7.45
506,Singaraja,ID,1630791547,-8.112,115.0882,77.16,82,86,5.91
482,Tual,ID,1630791539,-5.6667,132.75,80.44,82,100,21.32
565,Port Blair,IN,1630791564,11.6667,92.75,80.89,82,100,19.77
321,Kismayo,SO,1630791492,-0.3582,42.5454,76.19,82,9,15.52
433,Stokmarknes,NO,1630791525,68.5646,14.9108,48.49,82,100,7.16
223,Boshnyakovo,RU,1630791462,49.6333,142.1667,56.23,82,41,3.47
415,Mananjary,MG,1630791519,-21.2167,48.3333,68.22,82,46,5.64
330,Osa,RU,1630791495,57.2829,55.4567,43.65,82,5,11.86
236,Rayong,TH,1630791466,12.8333,101.4333,77.68,82,100,2.1
316,Belyy Yar,RU,1630791490,53.6039,91.3903,44.49,81,0,4.47
450,Zauralskiy,RU,1630791530,54.7875,61.2365,53.17,81,0,8.55
10,Geraldton,AU,1630791399,-28.7667,114.6,43.21,81,0,4.61
271,Bjørnevatn,NO,1630791477,69.6672,29.9847,37.74,81,90,16.11
307,Saldanha,ZA,1630791488,-33.0117,17.9442,48.25,81,72,10.38
89,Esperance,AU,1630791422,-33.8667,121.9,42.64,81,0,8.12
571,Batagay-Alyta,RU,1630791566,67.8006,130.4114,35.44,81,44,3.87
141,Dikson,RU,1630791438,73.5069,80.5464,43.0,81,92,28.95
449,Tromsø,NO,1630791529,69.6496,18.957,44.62,81,75,9.22
24,Touros,BR,1630791291,-5.1989,-35.4608,79.7,81,10,12.75
429,College,US,1630791523,64.8569,-147.8028,61.29,81,75,0.0
47,Cockburn Town,TC,1630791410,21.4612,-71.1419,83.55,81,30,15.19
78,Bredasdorp,ZA,1630791253,-34.5322,20.0403,53.28,81,100,6.91
549,Fairbanks,US,1630791462,64.8378,-147.7164,61.3,81,40,0.0
430,Nanortalik,GL,1630791524,60.1432,-45.2371,43.59,81,0,12.24
193,Salinópolis,BR,1630791453,-0.6136,-47.3561,80.11,81,97,14.99
541,Vavuniya,LK,1630791557,8.7514,80.4971,77.38,81,100,8.9
197,Hong Kong,HK,1630791339,22.2855,114.1577,85.32,80,15,5.57
124,Morondava,MG,1630791433,-20.2833,44.2833,71.38,80,0,10.85
8,Irbeyskoye,RU,1630791398,55.6428,95.4522,38.97,80,0,6.33
101,Yar-Sale,RU,1630791426,66.8333,70.8333,53.58,80,100,13.67
479,Auki,SB,1630791538,-8.7676,160.7034,79.95,80,77,2.42
342,Cayenne,GF,1630791477,4.9333,-52.3333,83.08,80,0,5.01
369,Curumaní,CO,1630791507,9.1999,-73.5427,84.79,80,98,0.38
391,Navahrudak,BY,1630791513,53.6,25.8333,41.81,80,16,6.08
382,Lorengau,PG,1630791510,-2.0226,147.2712,82.0,79,88,11.74
186,St. George's,GD,1630791451,12.0564,-61.7485,83.88,79,40,26.46
377,Berdigestyakh,RU,1630791509,62.0989,126.6992,34.61,79,100,5.35
187,Richards Bay,ZA,1630791451,-28.783,32.0377,67.59,79,28,9.37
534,Seoul,KR,1630791555,37.5683,126.9778,65.64,79,0,4.61
280,Torbay,CA,1630791332,47.6666,-52.7314,65.57,79,75,17.27
268,Vanavara,RU,1630791476,60.34,102.2797,35.83,79,4,3.47
347,Kimbe,PG,1630791500,-5.5502,150.1429,79.86,79,34,4.32
362,Kaitangata,NZ,1630791504,-46.2817,169.8464,51.13,79,100,4.85
168,Suntar,RU,1630791446,62.1444,117.6319,34.7,79,97,2.39
289,Nemuro,JP,1630791482,43.3236,145.575,59.22,79,24,9.55
157,Ponta do Sol,PT,1630791443,32.6667,-17.1,75.83,79,25,3.42
488,Banda Aceh,ID,1630791541,5.5577,95.3222,78.44,79,100,4.09
162,Angoche,MZ,1630791444,-16.2325,39.9086,71.74,79,2,6.69
573,Kununurra,AU,1630791566,-15.7667,128.7333,71.58,78,90,12.66
475,Constantine,DZ,1630791537,36.365,6.6147,74.61,78,20,9.22
81,Saint-Philippe,RE,1630791420,-21.3585,55.7679,71.19,78,87,17.22
14,Manggar,ID,1630791400,-2.8833,108.2667,80.24,78,100,6.11
354,Syracuse,IT,1630791502,37.0881,15.2792,77.9,78,0,5.79
291,Oussouye,SN,1630791483,12.485,-16.5469,78.98,78,92,5.88
355,Isangel,VU,1630791502,-19.55,169.2667,73.51,78,20,9.22
401,Iquique,CL,1630791516,-20.2208,-70.1431,60.84,78,31,7.05
361,Muroto-misakicho,JP,1630791504,33.2833,134.15,75.24,78,100,10.85
252,Forio,IT,1630791471,40.7342,13.8646,72.45,78,32,9.75
44,Bathsheba,BB,1630791409,13.2167,-59.5167,83.01,78,20,10.36
210,Alofi,NU,1630791458,-19.0595,-169.9187,80.49,78,93,12.66
325,Ambilobe,MG,1630791493,-13.2,49.05,64.54,78,11,3.8
503,Samarai,PG,1630791546,-10.6167,150.6667,79.27,77,79,12.73
